"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_rankers_phase4b_20260728_142316\git_status_before.txt","_patch_backups\ml_field_rankers_phase4b_20260728_142316\git_status_before.txt","git_status_before.txt",".txt","4817","0.0046","2026-07-28T14:23:16","2026-07-28T14:23:16","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_rankers_phase4b_20260728_142316\pip_freeze_before.txt","_patch_backups\ml_field_rankers_phase4b_20260728_142316\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-28T14:23:16","2026-07-28T14:23:16","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\git_diff_before.patch","_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-28T14:42:31","2026-07-28T14:42:31","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\git_status_before.txt","_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\git_status_before.txt","git_status_before.txt",".txt","4929","0.0047","2026-07-28T14:42:31","2026-07-28T14:42:31","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\pip_freeze_before.txt","_patch_backups\ml_field_span_rankers_phase4b2_20260728_144231\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-28T14:42:31","2026-07-28T14:42:31","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_product_items_phase4c_20260728_150520\git_diff_before.patch","_patch_backups\ml_product_items_phase4c_20260728_150520\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-28T15:05:20","2026-07-28T15:05:20","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_product_items_phase4c_20260728_150520\git_status_before.txt","_patch_backups\ml_product_items_phase4c_20260728_150520\git_status_before.txt","git_status_before.txt",".txt","5040","0.0048","2026-07-28T15:05:20","2026-07-28T15:05:20","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_product_items_phase4c_20260728_150520\pip_freeze_before.txt","_patch_backups\ml_product_items_phase4c_20260728_150520\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-28T15:05:20","2026-07-28T15:05:20","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_product_ocr_bias_phase4c1_20260728_161110\git_diff_before.patch","_patch_backups\ml_product_ocr_bias_phase4c1_20260728_161110\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-28T16:11:11","2026-07-28T16:11:11","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_product_ocr_bias_phase4c1_20260728_161110\git_status_before.txt","_patch_backups\ml_product_ocr_bias_phase4c1_20260728_161110\git_status_before.txt","git_status_before.txt",".txt","5155","0.0049","2026-07-28T16:11:11","2026-07-28T16:11:11","SOURCE_OR_CONFIG"
